Season,Date,Location,Team,Opponent,Abbr,Jersey,PlayerName,StarterFlag,Mins,3PT_Pct,FG_Pct,FT_Pct,Reb_O,Reb_D,Reb_T,PF,AST,TO,BLK,STL,Pts,3PTM,3PTA,FGM,FGA,FTM,FTA,TS_Pct,eFG_Pct
2023-24,2023-09-28,"Hamilton, ON",McMaster Marauders,Memorial Sea-Hawks,MCM,22.0,Mohamud (Moody) Qasim,True,19,22.2,28.6,100.0,2,6,8,4,0,2,0,1,12,2,9,4,14,2,2,40.32,35.71
2023-24,2023-09-28,"Hamilton, ON",McMaster Marauders,Memorial Sea-Hawks,MCM,32.0,Elijah Bethune,False,17,50.0,66.7,100.0,0,3,3,2,2,2,0,1,11,1,2,4,6,2,2,79.94,75.0
2023-24,2023-09-28,"Hamilton, ON",McMaster Marauders,Memorial Sea-Hawks,MCM,6.0,Tyler Garcia,False,27,0.0,33.3,20.0,0,2,2,2,2,0,0,1,7,0,3,3,9,1,5,31.25,33.33
2023-24,2023-09-28,"Hamilton, ON",McMaster Marauders,Memorial Sea-Hawks,MCM,33.0,Riaz Saliu,False,12,0.0,40.0,50.0,1,5,6,2,0,0,2,0,7,0,0,2,5,3,6,45.81,40.0
2023-24,2023-09-28,"Hamilton, ON",McMaster Marauders,Memorial Sea-Hawks,MCM,10.0,Nathan Charles,True,24,50.0,25.0,0.0,1,8,9,4,1,0,0,1,5,1,2,2,8,0,0,31.25,31.25
2023-24,2023-09-28,"Hamilton, ON",McMaster Marauders,Memorial Sea-Hawks,MCM,12.0,Brendan Amoyaw,True,20,0.0,28.6,0.0,2,3,5,0,0,0,1,1,4,0,1,2,7,0,4,22.83,28.57
2023-24,2023-09-28,"Hamilton, ON",McMaster Marauders,Memorial Sea-Hawks,MCM,9.0,Ares Culley-Bremner,False,19,0.0,40.0,0.0,0,3,3,1,2,1,4,4,4,0,0,2,5,0,0,40.0,40.0
2023-24,2023-09-28,"Hamilton, ON",McMaster Marauders,Memorial Sea-Hawks,MCM,3.0,Tyrelle Miller,True,23,0.0,10.0,50.0,2,3,5,1,4,2,1,0,4,0,3,1,10,2,4,17.01,10.0
2023-24,2023-09-28,"Hamilton, ON",McMaster Marauders,Memorial Sea-Hawks,MCM,21.0,Mike Demagus,True,3,0.0,33.3,0.0,0,0,0,0,0,0,0,0,2,0,1,1,3,0,0,33.33,33.33
2023-24,2023-09-28,"Hamilton, ON",McMaster Marauders,Memorial Sea-Hawks,MCM,23.0,Jeremiah Francis,False,11,0.0,25.0,0.0,0,0,0,0,0,1,0,2,2,0,1,1,4,0,0,25.0,25.0
2023-24,2023-09-28,"Hamilton, ON",McMaster Marauders,Memorial Sea-Hawks,MCM,31.0,Kazim Raza,False,19,0.0,14.3,0.0,1,0,1,1,0,0,0,0,2,0,4,1,7,0,0,14.29,14.29
2023-24,2023-09-28,"Hamilton, ON",McMaster Marauders,Memorial Sea-Hawks,MCM,25.0,Thomas Matsell,False,5,0.0,0.0,0.0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2023-24,2023-09-28,"Hamilton, ON",Memorial Sea-Hawks,McMaster Marauders,SEA,11.0,Flynn Boardman-Raffett,True,27,14.3,38.5,60.0,2,10,12,5,3,1,0,3,14,1,7,5,13,3,5,46.05,42.31
2023-24,2023-09-28,"Hamilton, ON",Memorial Sea-Hawks,McMaster Marauders,SEA,13.0,Emmanuel Ring,True,28,0.0,27.8,50.0,2,8,10,3,0,5,0,0,12,0,4,5,18,2,4,30.36,27.78
2023-24,2023-09-28,"Hamilton, ON",Memorial Sea-Hawks,McMaster Marauders,SEA,14.0,Nicholas Tuff,True,24,0.0,18.2,75.0,1,2,3,2,0,1,1,0,7,0,6,2,11,3,4,27.43,18.18
2023-24,2023-09-28,"Hamilton, ON",Memorial Sea-Hawks,McMaster Marauders,SEA,8.0,Cameron Stanford,False,20,0.0,20.0,50.0,1,7,8,1,0,3,0,0,4,0,1,1,5,2,4,29.59,20.0
2023-24,2023-09-28,"Hamilton, ON",Memorial Sea-Hawks,McMaster Marauders,SEA,7.0,Jason Thompson,True,21,0.0,33.3,100.0,0,2,2,0,1,3,0,0,4,0,0,1,3,2,2,51.55,33.33
2023-24,2023-09-28,"Hamilton, ON",Memorial Sea-Hawks,McMaster Marauders,SEA,6.0,River Drefers,False,17,0.0,0.0,100.0,1,2,3,2,0,1,0,0,2,0,4,0,7,2,2,12.69,0.0
2023-24,2023-09-28,"Hamilton, ON",Memorial Sea-Hawks,McMaster Marauders,SEA,24.0,Jodick Moudiandambu,False,15,0.0,20.0,0.0,1,2,3,3,1,1,0,0,2,0,0,1,5,0,2,17.01,20.0
2023-24,2023-09-28,"Hamilton, ON",Memorial Sea-Hawks,McMaster Marauders,SEA,9.0,Joshua Reimer,False,18,0.0,12.5,0.0,3,2,5,1,1,2,0,0,2,0,5,1,8,0,0,12.5,12.5
2023-24,2023-09-28,"Hamilton, ON",Memorial Sea-Hawks,McMaster Marauders,SEA,12.0,Joshua Francis,True,20,0.0,0.0,0.0,1,2,3,3,1,0,0,0,0,0,0,0,3,0,0,0.0,0.0
2023-24,2023-09-28,"Hamilton, ON",Memorial Sea-Hawks,McMaster Marauders,SEA,4.0,Merreck Mintz,False,4,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0.0,0.0
2023-24,2023-09-28,"Hamilton, ON",Memorial Sea-Hawks,McMaster Marauders,SEA,0.0,Ivan Tsafack,False,6,0.0,0.0,0.0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0
2023-24,2023-09-28,"Regina, SK",Lethbridge Pronghorns,Brandon Bobcats,LET,3.0,Kymani Pollard,True,23,71.4,66.7,0.0,0,3,3,0,2,2,0,0,21,5,7,8,12,0,0,87.5,87.5
2023-24,2023-09-28,"Regina, SK",Lethbridge Pronghorns,Brandon Bobcats,LET,10.0,Shae Gibb,False,20,80.0,53.8,20.0,0,1,1,1,3,3,0,2,19,4,5,7,13,1,5,62.5,69.23
2023-24,2023-09-28,"Regina, SK",Lethbridge Pronghorns,Brandon Bobcats,LET,8.0,Jack-Henry Fox-Grey,True,19,66.7,75.0,75.0,0,6,6,1,1,1,0,1,11,2,3,3,4,3,4,95.49,100.0
2023-24,2023-09-28,"Regina, SK",Lethbridge Pronghorns,Brandon Bobcats,LET,1.0,Brady Baines,True,21,20.0,37.5,100.0,1,4,5,1,0,4,0,1,8,1,5,3,8,1,1,47.39,43.75
2023-24,2023-09-28,"Regina, SK",Lethbridge Pronghorns,Brandon Bobcats,LET,33.0,Sebastian Perez,False,11,0.0,100.0,0.0,0,2,2,3,2,2,0,0,8,0,0,4,4,0,0,100.0,100.0
2023-24,2023-09-28,"Regina, SK",Lethbridge Pronghorns,Brandon Bobcats,LET,22.0,Karter Fry,False,19,0.0,50.0,83.3,0,2,2,2,2,0,0,0,7,0,1,1,2,5,6,75.43,50.0
