Season,Date,Location,Team,Opponent,Abbr,Jersey,PlayerName,StarterFlag,Mins,3PT_Pct,FG_Pct,FT_Pct,Reb_O,Reb_D,Reb_T,PF,AST,TO,BLK,STL,Pts,3PTM,3PTA,FGM,FGA,FTM,FTA,TS_Pct,eFG_Pct
2021-22,2021-10-02,"Regina, SK",Regina Cougars,Mount Royal University Cougars,REG,3.0,Brayden Kuski,False,23,50.0,60.0,0.0,1,2,3,4,3,2,1,2,16,4,8,6,10,0,0,80.0,80.0
2021-22,2021-10-02,"Regina, SK",Regina Cougars,Mount Royal University Cougars,REG,13.0,Carter Millar,True,29,0.0,71.4,71.4,0,10,10,5,3,3,0,2,15,0,1,5,7,5,7,74.4,71.43
2021-22,2021-10-02,"Regina, SK",Regina Cougars,Mount Royal University Cougars,REG,12.0,Arinze Emeka-Anyakwo,True,24,50.0,45.5,0.0,1,4,5,1,1,1,0,3,14,4,8,5,11,0,0,63.64,63.64
2021-22,2021-10-02,"Regina, SK",Regina Cougars,Mount Royal University Cougars,REG,4.0,Josiah Thomas,True,26,0.0,50.0,80.0,0,2,2,5,4,1,0,2,14,0,1,5,10,4,5,57.38,50.0
2021-22,2021-10-02,"Regina, SK",Regina Cougars,Mount Royal University Cougars,REG,5.0,Nick Barnard,False,24,0.0,25.0,100.0,1,5,6,2,1,0,2,0,8,0,3,2,8,4,4,40.98,25.0
2021-22,2021-10-02,"Regina, SK",Regina Cougars,Mount Royal University Cougars,REG,7.0,Cade Mather,False,7,50.0,60.0,0.0,0,0,0,1,0,1,0,0,8,2,4,3,5,0,0,80.0,80.0
2021-22,2021-10-02,"Regina, SK",Regina Cougars,Mount Royal University Cougars,REG,15.0,Hayden Collier,True,15,33.3,33.3,100.0,2,1,3,3,0,1,2,0,7,1,3,2,6,2,2,50.87,41.67
2021-22,2021-10-02,"Regina, SK",Regina Cougars,Mount Royal University Cougars,REG,9.0,Nigel Warden,False,14,50.0,33.3,0.0,0,2,2,2,1,2,0,0,3,1,2,1,3,0,0,50.0,50.0
2021-22,2021-10-02,"Regina, SK",Regina Cougars,Mount Royal University Cougars,REG,14.0,Majok Madol,False,4,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.0,0.0
2021-22,2021-10-02,"Regina, SK",Regina Cougars,Mount Royal University Cougars,REG,6.0,Dakota McBride-Marean,False,4,0.0,0.0,0.0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0.0,0.0
2021-22,2021-10-02,"Wolfville, NS",Saint Mary's Huskies,St. Francis Xavier X-Men,SMU,7.0,Nikita Kasongo,True,36,50.0,45.5,100.0,1,4,5,3,2,3,0,0,21,4,8,5,11,7,7,74.57,63.64
2021-22,2021-10-02,"Wolfville, NS",Saint Mary's Huskies,St. Francis Xavier X-Men,SMU,8.0,Shae Linton-Brown,True,30,50.0,40.0,66.7,0,2,2,3,0,4,0,0,15,1,2,4,10,6,9,53.72,45.0
2021-22,2021-10-02,"Wolfville, NS",Saint Mary's Huskies,St. Francis Xavier X-Men,SMU,3.0,Jayrell Diggs,False,17,60.0,50.0,100.0,0,1,1,1,0,0,0,0,13,3,5,3,6,4,4,83.76,75.0
2021-22,2021-10-02,"Wolfville, NS",Saint Mary's Huskies,St. Francis Xavier X-Men,SMU,4.0,Johneil Johnson,False,19,50.0,55.6,100.0,0,7,7,0,1,2,1,0,13,1,2,5,9,2,2,65.79,61.11
2021-22,2021-10-02,"Wolfville, NS",Saint Mary's Huskies,St. Francis Xavier X-Men,SMU,23.0,Qyemah Gibson,True,30,37.5,28.6,0.0,1,6,7,4,0,0,0,0,11,3,8,4,14,0,0,39.29,39.29
2021-22,2021-10-02,"Wolfville, NS",Saint Mary's Huskies,St. Francis Xavier X-Men,SMU,11.0,Dontae Mitchell,True,31,0.0,36.4,75.0,1,3,4,2,0,1,1,0,11,0,2,4,11,3,4,43.1,36.36
2021-22,2021-10-02,"Wolfville, NS",Saint Mary's Huskies,St. Francis Xavier X-Men,SMU,1.0,Jace Colley,True,35,0.0,37.5,100.0,1,6,7,3,3,0,1,0,7,0,2,3,8,1,1,41.47,37.5
2021-22,2021-10-02,"Wolfville, NS",Saint Mary's Huskies,St. Francis Xavier X-Men,SMU,10.0,Jackson Enyinna,False,1,0.0,100.0,0.0,0,2,2,2,0,0,0,0,2,0,0,1,1,0,0,100.0,100.0
2021-22,2021-10-02,"Wolfville, NS",Saint Mary's Huskies,St. Francis Xavier X-Men,SMU,5.0,Trayvone Clayton,False,2,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0.0,0.0
2021-22,2021-10-02,"Wolfville, NS",Saint Mary's Huskies,St. Francis Xavier X-Men,SMU,2.0,Jonah Crowther,False,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0.0,0.0
2021-22,2021-10-02,"Wolfville, NS",St. Francis Xavier X-Men,Saint Mary's Huskies,STX,6.0,Dondre Reddick,True,31,66.7,60.0,0.0,1,2,3,5,0,1,0,0,14,2,3,6,10,0,0,70.0,70.0
2021-22,2021-10-02,"Wolfville, NS",St. Francis Xavier X-Men,Saint Mary's Huskies,STX,5.0,Justin Andrew,False,9,33.3,62.5,100.0,0,2,2,3,0,3,0,0,12,1,3,5,8,1,1,71.09,68.75
2021-22,2021-10-02,"Wolfville, NS",St. Francis Xavier X-Men,Saint Mary's Huskies,STX,27.0,Avan Nava,True,40,40.0,44.4,0.0,1,2,3,3,1,0,0,0,10,2,5,4,9,0,0,55.56,55.56
2021-22,2021-10-02,"Wolfville, NS",St. Francis Xavier X-Men,Saint Mary's Huskies,STX,55.0,David Muenkat,True,37,0.0,33.3,100.0,1,9,10,3,2,1,0,0,9,0,1,4,12,1,1,36.17,33.33
2021-22,2021-10-02,"Wolfville, NS",St. Francis Xavier X-Men,Saint Mary's Huskies,STX,10.0,Jamie White,True,31,0.0,37.5,100.0,0,5,5,2,0,0,0,0,8,0,3,3,8,2,2,45.05,37.5
2021-22,2021-10-02,"Wolfville, NS",St. Francis Xavier X-Men,Saint Mary's Huskies,STX,21.0,Handy Disanka,False,7,0.0,40.0,75.0,1,1,2,3,0,0,0,0,7,0,0,2,5,3,4,51.78,40.0
2021-22,2021-10-02,"Wolfville, NS",St. Francis Xavier X-Men,Saint Mary's Huskies,STX,22.0,Michael Utsalo,False,0,100.0,66.7,66.7,0,1,1,0,0,0,0,0,7,1,1,2,3,2,3,81.02,83.33
2021-22,2021-10-02,"Wolfville, NS",St. Francis Xavier X-Men,Saint Mary's Huskies,STX,3.0,Antoine Vernon,True,31,33.3,33.3,0.0,0,4,4,3,5,2,0,0,7,1,3,3,9,0,0,38.89,38.89
2021-22,2021-10-02,"Wolfville, NS",St. Francis Xavier X-Men,Saint Mary's Huskies,STX,12.0,Gatluak James,False,9,66.7,40.0,0.0,0,1,1,0,1,0,0,0,6,2,3,2,5,0,0,60.0,60.0
2021-22,2021-10-02,"Wolfville, NS",St. Francis Xavier X-Men,Saint Mary's Huskies,STX,1.0,Matt Pennell,False,0,50.0,25.0,0.0,0,3,3,2,2,1,0,0,3,1,2,1,4,0,0,37.5,37.5
2021-22,2021-10-02,"Wolfville, NS",St. Francis Xavier X-Men,Saint Mary's Huskies,STX,2.0,Jeremy Coria,False,5,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2021-22,2021-10-02,"Wolfville, NS",St. Francis Xavier X-Men,Saint Mary's Huskies,STX,15.0,Bennett Grumbach,False,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0.0,0.0
2021-22,2021-10-02,"Wolfville, NS",St. Francis Xavier X-Men,Saint Mary's Huskies,STX,9.0,Sidney Okeke,False,0,0.0,0.0,0.0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2021-22,2021-10-03,"Wolfville, NS",Dalhousie Tigers,Saint Mary's Huskies,DAL,11.0,Keevan Veinot,True,40,44.4,45.5,100.0,0,3,3,2,2,0,2,0,30,4,9,10,22,6,6,60.88,54.55
2021-22,2021-10-03,"Wolfville, NS",Dalhousie Tigers,Saint Mary's Huskies,DAL,24.0,Shamar Burrows,True,29,0.0,72.7,80.0,2,6,8,5,0,2,0,0,20,0,0,8,11,4,5,75.76,72.73
2021-22,2021-10-03,"Wolfville, NS",Dalhousie Tigers,Saint Mary's Huskies,DAL,13.0,Alex Carson,True,40,100.0,66.7,100.0,0,4,4,2,2,2,0,1,17,1,1,6,9,4,4,79.0,72.22
2021-22,2021-10-03,"Wolfville, NS",Dalhousie Tigers,Saint Mary's Huskies,DAL,7.0,Nginyu Ngala,False,16,50.0,60.0,100.0,1,1,2,1,1,0,0,0,15,1,2,3,5,8,8,88.03,70.0
2021-22,2021-10-03,"Wolfville, NS",Dalhousie Tigers,Saint Mary's Huskies,DAL,21.0,Ben Shoveller,False,0,0.0,60.0,100.0,1,0,1,3,0,2,0,0,7,0,0,3,5,1,1,64.34,60.0
2021-22,2021-10-03,"Wolfville, NS",Dalhousie Tigers,Saint Mary's Huskies,DAL,10.0,Samuel Maillet,True,36,0.0,100.0,100.0,1,2,3,2,2,0,0,0,5,0,0,2,2,1,1,102.46,100.0
2021-22,2021-10-03,"Wolfville, NS",Dalhousie Tigers,Saint Mary's Huskies,DAL,22.0,Marley Blommers,False,6,0.0,33.3,0.0,0,0,0,1,1,2,0,0,2,0,0,1,3,0,1,29.07,33.33
2021-22,2021-10-03,"Wolfville, NS",Dalhousie Tigers,Saint Mary's Huskies,DAL,5.0,Adam Sellan,False,1,0.0,100.0,0.0,0,2,2,0,0,0,0,0,2,0,0,1,1,0,0,100.0,100.0
2021-22,2021-10-03,"Wolfville, NS",Dalhousie Tigers,Saint Mary's Huskies,DAL,4.0,Samuel Wade,True,26,0.0,33.3,0.0,1,2,3,4,0,0,0,0,2,0,0,1,3,0,0,33.33,33.33
2021-22,2021-10-03,"Wolfville, NS",Dalhousie Tigers,Saint Mary's Huskies,DAL,9.0,Ifesinachi Chiekwe,False,0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
