Season,Date,Location,Team,Opponent,Abbr,Jersey,PlayerName,StarterFlag,Mins,3PT_Pct,FG_Pct,FT_Pct,Reb_O,Reb_D,Reb_T,PF,AST,TO,BLK,STL,Pts,3PTM,3PTA,FGM,FGA,FTM,FTA,TS_Pct,eFG_Pct
2024-25,2024-09-26,"Saskatoon, SK",Carleton Ravens,Saskatchewan Huskies,CAR,13.0,Augustas Brazdeikis,True,29,40.0,41.7,100.0,2,5,7,4,2,3,1,2,16,2,5,5,12,4,4,58.14,50.0
2024-25,2024-09-26,"Saskatoon, SK",Carleton Ravens,Saskatchewan Huskies,CAR,15.0,Emanuel Milon,True,25,0.0,66.7,100.0,2,2,4,2,0,1,1,1,13,0,1,6,9,1,1,68.86,66.67
2024-25,2024-09-26,"Saskatoon, SK",Carleton Ravens,Saskatchewan Huskies,CAR,10.0,Daniel Smith,False,19,60.0,50.0,0.0,1,3,4,2,0,4,0,0,11,3,5,4,8,0,0,68.75,68.75
2024-25,2024-09-26,"Saskatoon, SK",Carleton Ravens,Saskatchewan Huskies,CAR,23.0,Nelson Cilien,True,21,0.0,83.3,0.0,7,3,10,3,0,2,0,1,10,0,0,5,6,0,0,83.33,83.33
2024-25,2024-09-26,"Saskatoon, SK",Carleton Ravens,Saskatchewan Huskies,CAR,6.0,Aubrey Dorey-Havens,True,24,0.0,0.0,87.5,0,3,3,1,4,1,0,1,7,0,6,0,7,7,8,33.27,0.0
2024-25,2024-09-26,"Saskatoon, SK",Carleton Ravens,Saskatchewan Huskies,CAR,22.0,Jordan Horobetz-Simpson,False,9,0.0,100.0,100.0,1,4,5,1,0,0,0,0,4,0,0,1,1,2,2,106.38,100.0
2024-25,2024-09-26,"Saskatoon, SK",Carleton Ravens,Saskatchewan Huskies,CAR,3.0,Marjok Okado,False,19,0.0,25.0,100.0,0,1,1,0,1,1,0,0,4,0,3,1,4,2,2,40.98,25.0
2024-25,2024-09-26,"Saskatoon, SK",Carleton Ravens,Saskatchewan Huskies,CAR,12.0,To Randriasalama,False,10,33.3,25.0,0.0,0,2,2,2,0,1,0,0,3,1,3,1,4,0,0,37.5,37.5
2024-25,2024-09-26,"Saskatoon, SK",Carleton Ravens,Saskatchewan Huskies,CAR,21.0,Noah Horobetz-Simpson,False,7,0.0,33.3,0.0,1,1,2,2,0,0,0,0,2,0,0,1,3,0,4,21.01,33.33
2024-25,2024-09-26,"Saskatoon, SK",Carleton Ravens,Saskatchewan Huskies,CAR,11.0,Xavier Spencer,True,27,0.0,10.0,0.0,2,2,4,2,5,2,0,1,2,0,5,1,10,0,0,10.0,10.0
2024-25,2024-09-26,"Saskatoon, SK",Carleton Ravens,Saskatchewan Huskies,CAR,7.0,A.J. Osman,False,9,0.0,0.0,50.0,0,1,1,2,3,0,0,0,1,0,0,0,1,1,2,26.6,0.0
2024-25,2024-09-26,"Saskatoon, SK",Saskatchewan Huskies,Carleton Ravens,SAS,10.0,Owen Murphy Wiebe,False,18,60.0,71.4,100.0,0,2,2,0,2,2,0,2,17,3,5,5,7,4,4,97.03,92.86
