November,,,,
Fri. 1,,,,
Away,Home,Notes,Status,Links
UPEI65,Memorial71,,Final*,Box Score
StFX69,Dalhousie63,,Final*,Box ScoreRecapRecapRecap
UNB59,Cape Breton87,,Final*,Box ScoreRecapRecapRecap
Carleton86,Waterloo77,,Final*,Box Score
Western85,Ontario Tech75,,Final*,Box Score
Ottawa86,Laurier68,,Final*,Box ScoreRecap
Nipissing67,Guelph73,,Final*,Box Score
Toronto Metropolitan67,Toronto84,,Final*,Box Score
Windsor104,Queen's96,,Final*,Box Score
McMaster76,Lakehead91,,Final*,Box Score
Winnipeg91,Brandon71,,Final*,Box Score
Mount Royal93,MacEwan90,,Final*,Box ScoreRecap
Regina62,Lethbridge75,,Final*,Box Score
Saskatchewan77,Calgary95,,Final*,Box Score
UNBC71,UBC Okanagan91,,Final*,Box Score
Sat. 2,,,,
Away,Home,Notes,Status,Links
UNB67,Cape Breton78,,Final*,Box ScoreRecapRecap
Mount Royal88,MacEwan74,,Final*,Box ScoreRecap
Windsor83,Ontario Tech88,,Final*,Box Score
Brock63,Laurentian80,,Final*,Box ScoreRecapRecap
Ottawa51,Waterloo61,,Final*,Box ScoreRecap
Algoma52,Toronto Metropolitan115,,Final*,Box Score
Western77,Queen's86,,Final*,Box Score
UPEI83,Memorial58,,Final*,Box Score
Saint Mary's62,Acadia78,,Final*,Box ScoreRecapRecapResultsPhotos
McMaster73,Lakehead76,,Final*,Box Score
Carleton69,Laurier60,,Final*,Box Score
Regina71,Lethbridge73,,Final*,Box Score
Trinity Western78,UBC99,,Final*,Box Score
Saskatchewan49,Calgary99,,Final*,Box Score
UFV65,Victoria91,,Final*,Box Score
Sun. 3,,,,
Away,Home,Notes,Status,Links
Algoma41,Toronto114,,Final*,Box Score
Brock71,Nipissing73,,Final*,Box Score
Brandon74,Manitoba81,,Final*,Box Score
Thompson Rivers88,UNBC85,,Final - OT*,Box Score
Wed. 6,,,,
Away,Home,Notes,Status,Links
Guelph50,Toronto Metropolitan80,,Final*,Box Score
Waterloo71,Toronto70,,Final*,Box Score
Thu. 7,,,,
Away,Home,Notes,Status,Links
Cape Breton91,StFX97,,Final*,Box ScoreRecap
Laval50,McGill67,RSEQ No. M02,Final*,Box Score
Bishop's85,Concordia60,RSEQ No. M01,Final*,Box Score
Fri. 8,,,,
Away,Home,Notes,Status,Links
Acadia77,UPEI83,,Final*,Box ScoreRecapPhotos
Memorial80,Saint Mary's74,,Final*,Box ScoreRecapResultsPhotos
Laurier55,Laurentian61,,Final*,Box ScoreRecap
Lakehead77,Windsor76,,Final*,Box Score
McMaster78,Western88,,Final*,Box Score
Queen's121,Algoma74,,Final*,Box Score
Manitoba83,Saskatchewan79,,Final*,Box Score
Brandon87,Regina83,,Final*,Box Score
Calgary81,Alberta70,,Final*,Box Score
Trinity Western72,Mount Royal76,,Final*,Box Score
UBC84,Thompson Rivers61,,Final*,Box Score
UBC Okanagan66,UFV80,,Final*,Box Score
UNBC48,Victoria102,,Final*,Box Score
Sat. 9,,,,
Away,Home,Notes,Status,Links
Memorial76,Saint Mary's99,,Final*,Box ScoreRecapResultsPhotos
Acadia74,UPEI72,,Final*,Box ScoreRecapRecapPhotos
McMaster75,Windsor95,,Final*,Box Score
Concordia70,McGill60,RSEQ No. M03,Final*,Box Score
Dalhousie72,UNB53,,Final*,Box ScoreRecapRecap
StFX77,Cape Breton82,,Final*,Box ScoreRecapRecap
UQAM72,Laval55,RSEQ No. M04,Final*,Box Score
Lakehead104,Western89,,Final*,Box Score
Laurier73,Nipissing85,,Final*,Box Score
York60,Ottawa92,,Final*,Box ScoreRecapRecap
Toronto85,Guelph68,,Final*,Box Score
Waterloo66,Brock78,,Final*,Box Score
Ontario Tech111,Algoma62,,Final*,Box Score
Manitoba70,Saskatchewan67,,Final*,Box Score
UBC Okanagan58,UFV66,,Final*,Box Score
Brandon65,Regina86,,Final*,Box Score
Trinity Western83,Mount Royal86,,Final*,Box Score
Calgary78,Alberta59,,Final*,Box Score
UBC81,Thompson Rivers60,,Final*,Box Score
UNBC62,Victoria92,,Final*,Box Score
Sun. 10,,,,
Away,Home,Notes,Status,Links
Dalhousie61,UNB85,,Final*,Box ScoreRecap
York50,Carleton94,,Final*,Box Score
Wed. 13,,,,
Away,Home,Notes,Status,Links
Western83,Toronto Metropolitan91,,Final*,Box Score
Windsor94,Toronto76,,Final*,Box Score
Thu. 14,,,,
Away,Home,Notes,Status,Links
Bishop's67,UQAM64,RSEQ No. M05,Final*,Box Score
Fri. 15,,,,
Away,Home,Notes,Status,Links
Queen's99,Waterloo60,,Final*,Box Score
Cape Breton83,Dalhousie58,,Final*,Box ScoreRecapRecap
StFX93,UNB88,,Final - OT*,Box ScoreRecapRecap
Saint Mary's69,UPEI84,,Final*,VideoBox ScoreRecap
Acadia88,Memorial91,,Final*,Box Score
Algoma62,Carleton105,,Final*,Box Score
Ottawa66,Brock69,,Final*,Box Score
Ontario Tech63,Laurier64,,Final*,Box Score
Laurentian88,York60,,Final*,Box ScoreRecapRecap
Nipissing76,McMaster83,,Final*,Box Score
Guelph64,Lakehead85,,Final*,Box Score
UNBC64,Regina84,,Final*,Box Score
Lethbridge102,Brandon69,,Final*,Box Score
Alberta73,Saskatchewan58,,Final*,Box Score
MacEwan56,Calgary96,,Final*,Box ScoreRecap
Winnipeg83,Mount Royal58,,Final*,Box Score
Trinity Western53,UBC Okanagan63,,Final*,Box Score
UFV81,Thompson Rivers73,,Final*,Box Score
Victoria93,UBC80,,Final*,Box Score
Sat. 16,,,,
Away,Home,Notes,Status,Links
StFX73,UNB70,,Final*,Box ScoreRecapRecap
Concordia72,UQAM69,RSEQ No. M06,Final*,Box Score
Saint Mary's75,UPEI87,,Final*,Box ScoreRecapRecapPhotosPhotos
Windsor62,Toronto Metropolitan91,,Final*,Box Score
Acadia84,Memorial86,,Final*,Box ScoreRecap
Cape Breton83,Dalhousie88,,Final*,Box ScoreRecapRecap
Nipissing84,York76,,Final*,Box Score
McGill67,Laval106,RSEQ No. M07,Final*,Box Score
Queen's93,Laurier89,,Final*,Box Score
Ontario Tech64,Waterloo68,,Final*,Box Score
Laurentian83,McMaster64,,Final*,Box ScoreRecapRecap
Western83,Toronto81,,Final*,Box Score
Alberta86,Saskatchewan67,,Final*,Box Score
Lethbridge89,Brandon81,,Final*,Box Score
UNBC72,Regina100,,Final*,Box Score
MacEwan74,Calgary99,,Final*,Box ScoreRecap
Winnipeg62,Mount Royal52,,Final*,Box Score
UFV54,Thompson Rivers71,,Final*,Box Score
Trinity Western83,UBC Okanagan73,,Final*,Box Score
Victoria91,UBC81,,Final*,Box Score
Sun. 17,,,,
Away,Home,Notes,Status,Links
Algoma52,Ottawa100,,Final*,Box Score
Carleton78,Brock49,,Final*,Box Score
Wed. 20,,,,
Away,Home,Notes,Status,Links
Laurier64,Brock90,,Final*,Box Score
York70,Waterloo73,,Final*,Box Score
Thu. 21,,,,
Away,Home,Notes,Status,Links
McGill58,Bishop's73,RSEQ No. M08,Final*,Box Score
Fri. 22,,,,
Away,Home,Notes,Status,Links
Dalhousie54,Memorial72,,Final*,Box ScoreRecap
UPEI68,Cape Breton70,,Final*,Box ScoreRecapRecapPhotos
UNB100,Acadia67,,Final*,Box ScoreRecapRecap
Toronto76,Queen's80,,Final*,Box Score
McMaster70,Ottawa77,,Final*,Box ScoreRecap
Guelph47,Carleton61,,Final*,Box Score
Toronto Metropolitan85,Laurier78,,Final*,Box Score
Laurentian81,Windsor89,,Final*,Box ScoreRecap
Nipissing70,Western88,,Final*,Box Score
Lakehead85,Ontario Tech68,,Final*,Box Score
Alberta72,Brandon69,,Final*,Box Score
Regina62,Manitoba59,,Final*,Box Score
MacEwan63,Winnipeg84,,Final*,Box ScoreRecap
Mount Royal67,Lethbridge88,,Final*,Box Score
Calgary96,UBC89,,Final*,Box Score
UBC Okanagan84,UNBC74,,Final*,Box Score
Victoria98,UFV77,,Final*,Box Score
Thompson Rivers63,Trinity Western84,,Final*,Box Score
Sat. 23,,,,
Away,Home,Notes,Status,Links
York67,Algoma64,,Final*,Box Score
Laval71,Concordia90,RSEQ No. M09,Final*,Box Score
UQAM66,McGill61,RSEQ No. M10,Final*,Box Score
Lakehead79,Queen's84,,Final*,Box Score
Nipissing73,Windsor87,,Final*,Box Score
MacEwan56,Winnipeg88,,Final*,Box ScoreRecap
Dalhousie57,Memorial68,,Final*,Box ScoreRecap
UPEI58,StFX75,,Final*,Box ScoreRecapRecap
UNB60,Saint Mary's79,,Final*,Box ScoreRecapRecapResultsPhotos
McMaster79,Carleton89,,Final*,Box Score
Waterloo35,Toronto Metropolitan83,,Final*,Box Score
Toronto60,Ontario Tech83,,Final*,Box Score
Guelph45,Ottawa81,,Final*,Box ScoreRecap
Laurentian71,Western88,,Final*,Box ScoreRecapRecap
Regina57,Manitoba81,,Final*,Box Score
Alberta59,Brandon78,,Final*,Box Score
Victoria100,UFV75,,Final*,Box Score
Mount Royal72,Lethbridge64,,Final*,Box Score
Calgary89,UBC93,,Final*,Box Score
Thompson Rivers67,Trinity Western70,,Final*,Box Score
UBC Okanagan72,UNBC83,,Final*,Box Score
Sun. 24,,,,
Away,Home,Notes,Status,Links
Brock87,Algoma65,,Final*,Box Score
Wed. 27,,,,
Away,Home,Notes,Status,Links
StFX85,Saint Mary's84,,Final*,Box ScoreRecapRecapResultsPhotosPhotos
Brock76,Western75,,Final*,Box Score
Thu. 28,,,,
Away,Home,Notes,Status,Links
Regina69,Mount Royal65,,Final*,Box Score
UQAM74,Bishop's97,RSEQ No. M12,Final*,Box Score
Fri. 29,,,,
Away,Home,Notes,Status,Links
Ottawa96,Toronto77,,Final*,Box ScoreRecap
Brandon84,MacEwan80,,Final*,Box ScoreRecap
Memorial84,Cape Breton71,,Final*,Box ScoreRecap
UPEI63,UNB72,,Final*,Box ScoreRecapRecap
Laurier78,Lakehead85,,Final*,Box Score
Ontario Tech76,Guelph82,,Final - OT*,Box Score
Waterloo72,Nipissing67,,Final*,Box Score
Queen's110,York87,,Final*,Box Score
Lethbridge63,Manitoba79,,Final*,Box Score
Calgary92,UNBC68,,Final#,Box Score
Regina71,Mount Royal75,,Final*,Box Score
Winnipeg66,Alberta51,,Final*,Box Score
UBC93,UBC Okanagan50,,Final*,Box Score
Saskatchewan84,Thompson Rivers92,,Final*,Box Score
UFV63,Trinity Western78,,Final*,Box Score
Sat. 30,,,,
Away,Home,Notes,Status,Links
Memorial80,Cape Breton106,,Final*,Box ScoreRecap
Laval57,UQAM50,RSEQ No. M13,Final*,Box Score
Ottawa86,Toronto Metropolitan64,,Final*,Box ScoreRecap
Calgary80,UNBC55,,Final#,Box Score
Queen's70,McMaster69,,Final*,Box Score
StFX91,Acadia79,,Final*,Box ScoreRecapRecap
Saint Mary's68,Dalhousie76,,Final*,Box ScoreRecapRecap
Brandon88,MacEwan90,,Final*,Box ScoreRecap
Waterloo34,Laurentian72,,Final*,Box ScoreRecapRecap
York90,Guelph84,,Final*,Box Score
Carleton67,Lakehead76,,Final*,Box Score
Concordia80,Bishop's68,RSEQ No. M14,Final*,Box Score
Brock91,Windsor81,,Final*,Box Score
Lethbridge62,Manitoba77,,Final*,Box Score
Winnipeg85,Alberta83,,Final - OT*,Box Score
Saskatchewan62,Thompson Rivers75,,Final*,Box Score
UFV92,UBC Okanagan75,,Final*,Box Score
December,,,,
Wed. 4,,,,
Away,Home,Notes,Status,Links
Ottawa71,Carleton62,,Final*,Box ScoreRecapRecap
Thu. 5,,,,
Away,Home,Notes,Status,Links
Manitoba85,Winnipeg76,,Final*,Box Score
Fri. 6,,,,
Away,Home,Notes,Status,Links
Bishop's82,Laval56,RSEQ No. M15,Final*,Box Score
Mon. 16,,,,
Away,Home,Notes,Status,Links
Thompson Rivers61,Hope International81,,Final#,
Wed. 18,,,,
Away,Home,Notes,Status,Links
Thompson Rivers80,Westcliff82,,Final#,
Sat. 28,,,,
Away,Home,Notes,Status,Links
York92,Humber College81,Humber Winter Series,Final#,
Western84,Mohawk College72,"Humber Winter Series @ Toronto, ON",Final#,
Sun. 29,,,,
Away,Home,Notes,Status,Links
Algonquin79,Nipissing91,"Sheridan Wayne Allison Tournament @ Brampton, ON",Final#,
Guelph96,Sheridan College85,Sheridan Wayne Allison Tournament,Final#,
York81,Mohawk College79,"Humber Winter Series @ Toronto, ON",Final#,
Western104,Humber College69,Humber Winter Series,Final#,
Mon. 30,,,,
Away,Home,Notes,Status,Links
Nipissing82,Guelph89,"Sheridan Wayne Allison Tournament @ Brampton, ON",Final#,
January,,,,
Wed. 1,,,,
Away,Home,Notes,Status,Links
Mount Royal72,Benedictine Mesa78,,Final#,
Thu. 2,,,,
Away,Home,Notes,Status,Links
Lakehead68,Winnipeg75,,Final#,Box Score
Fri. 3,,,,
Away,Home,Notes,Status,Links
UNBC93,Vancouver Island University86,,Final#,
Lakehead70,Winnipeg82,,Final#,Box Score
St. Thomas70,UPEI99,(Exhibition),Final#,
McGill54,Carleton85,Exhibition Game in Ravens' Nest,Final#,Box Score
MacEwan58,Trinity Western87,,Final#,
Sat. 4,,,,
Away,Home,Notes,Status,Links
Trinity Western72,Thompson Rivers79,,Final#,
Mount Royal88,Justice College86,,Final#,
UNBC77,Vancouver Island University126,,Final#,
Concordia80,Ottawa70,Exhibition,Final#,Box Score
Bishop's68,Carleton70,Non-oonference,Final - OT#,Box Score
MacEwan50,UBC81,,Final#,Box Score
Sun. 5,,,,
Away,Home,Notes,Status,Links
Laurentian79,Nipissing83,,Final*,Box ScoreRecap
Wed. 8,,,,
Away,Home,Notes,Status,Links
StFX91,Dalhousie77,,Final*,Box ScoreRecapRecap
York37,Brock71,,Final*,Box Score
McMaster78,Guelph80,,Final*,Box Score
Thu. 9,,,,
Away,Home,Notes,Status,Links
McGill59,UQAM53,RSEQ No. M16,Final*,Box Score
Fri. 10,,,,
Away,Home,Notes,Status,Links
UPEI67,Saint Mary's79,,Final*,Box ScoreRecapResultsPhotos
Dalhousie72,StFX93,,Final*,Box ScoreRecapRecap
Cape Breton64,UNB85,,Final*,Box ScoreRecapRecapPhotos
Memorial78,Acadia107,,Final*,Box ScoreRecap
Ottawa81,Lakehead59,,Final*,Box Score
Windsor84,Waterloo58,,Final*,Box Score
Nipissing69,Ontario Tech80,,Final*,Box Score
Western98,Algoma55,,Final*,Box Score
Carleton86,Toronto59,,Final*,Box Score
Concordia83,Laval65,RSEQ No. M17,Final*,Box Score
Laurentian84,Queen's102,,Final*,Box ScoreRecapRecap
MacEwan74,Regina81,,Final*,Box ScoreRecap
Mount Royal82,Saskatchewan69,,Final*,Box Score
Calgary89,Winnipeg78,,Final*,Box Score
Manitoba81,Brandon72,,Final - OT*,Box Score
Alberta80,Lethbridge83,,Final*,Box Score
Thompson Rivers61,UBC81,,Final*,Box Score
UNBC58,UFV90,,Final*,Box Score
Trinity Western63,Victoria75,,Final*,Box Score
Sat. 11,,,,
Away,Home,Notes,Status,Links
Cape Breton99,UNB90,,Final*,Box ScoreRecapRecap
Western87,Algoma49,,Final*,Box Score
UPEI81,Saint Mary's64,,Final*,Box ScoreRecapResultsPhotos
Windsor73,Laurier88,,Final*,Box Score
Guelph73,Waterloo63,,Final*,Box Score
UQAM64,McGill62,RSEQ No. M18,Final*,Box Score
Calgary85,Winnipeg95,,Final*,Box Score
Memorial68,Acadia81,,Final*,Box ScoreRecap
Nipissing76,Queen's111,,Final*,Box Score
Carleton72,Toronto Metropolitan85,,Final*,Box Score
York82,Toronto77,,Final*,Box Score
Laurentian63,Ontario Tech55,,Final*,Box ScoreRecapRecap
Manitoba92,Brandon45,,Final*,Box Score
Mount Royal85,Saskatchewan73,,Final*,Box Score
Thompson Rivers83,UFV74,,Final*,Box Score
MacEwan84,Regina69,,Final*,Box ScoreRecap
Alberta73,Lethbridge81,,Final*,Box Score
UNBC59,UBC88,,Final*,Box Score
Trinity Western76,Victoria85,,Final*,Box Score
Sun. 12,,,,
Away,Home,Notes,Status,Links
Brock74,Toronto Metropolitan66,,Final*,Box Score
Wed. 15,,,,
Away,Home,Notes,Status,Links
Queen's99,Ontario Tech78,,Final*,Box Score
Thu. 16,,,,
Away,Home,Notes,Status,Links
Bishop's74,UQAM66,RSEQ No. M19,Final*,Box Score
Concordia76,McGill54,RSEQ No. M20,Final*,Box Score
Trinity Western87,Thompson Rivers78,,Final*,Box Score
Victoria91,UNBC58,,Final*,Box Score
Fri. 17,,,,
Away,Home,Notes,Status,Links
Acadia90,Cape Breton95,,Final*,Box ScoreRecap
Saint Mary's58,UNB60,,Final*,Box ScoreRecapRecapResultsPhotos
Guelph74,Western103,,Final*,Box Score
Algoma60,Laurier105,,Final*,Box Score
Toronto Metropolitan85,Lakehead89,,Final*,Box Score
York78,Windsor87,,Final*,Box Score
Ottawa59,Laurentian51,,Final*,Box ScoreRecapRecapRecap
Carleton82,Nipissing77,,Final*,Box Score
McMaster60,Brock74,,Final*,Box Score
Mount Royal77,Brandon72,,Final*,Box Score
Saskatchewan57,Winnipeg73,,Final*,Box Score
Lethbridge90,MacEwan85,,Final*,Box ScoreRecap
UBC Okanagan69,Alberta68,,Final*,Box Score
Manitoba82,Calgary75,,Final*,Box Score
UFV70,UBC100,,Final*,Box Score
Sat. 18,,,,
Away,Home,Notes,Status,Links
Ontario Tech79,Queen's86,,Final*,Box Score
McGill47,Concordia94,RSEQ No. M21,Final*,Box Score
Algoma37,Laurier69,,Final*,Box Score
Guelph83,Windsor71,,Final*,Box Score
Saskatchewan55,Winnipeg75,,Final*,Box Score
Dalhousie56,UPEI82,,Final*,Box ScoreRecapRecapPhotos
Acadia59,StFX93,,Final*,Box ScoreRecap
Lethbridge91,MacEwan84,,Final*,Box ScoreRecap
