July,,,,
Sun. 30,,,,
Away,Home,Notes,Status,Links
Canisius79,Carleton66,Exhibition - NCAA Division !,Final#,Box Score
Mon. 31,,,,
Away,Home,Notes,Status,Links
Canisius91,Concordia63,Exhibition - NCAA Division I,Final#,Box Score
Boise State134,Trinity Western70,Exhibition: NCAA Division I,Final#,
August,,,,
Tue. 1,,,,
Away,Home,Notes,Status,Links
Canisius88,UQAM64,Exhibition NCAA Division I,Final#,Box Score
Boise State93,UFV57,Exhibition: NCAA Division I,Final#,
Wed. 2,,,,
Away,Home,Notes,Status,Links
Canisius79,Bishop's74,"Exhibition: NCAA Division I @ St. Lambert, Que.",Final#,
Thu. 3,,,,
Away,Home,Notes,Status,Links
Boise State83,Thompson Rivers60,Exhibition: NCAA Division I,Final#,
Mon. 7,,,,
Away,Home,Notes,Status,Links
Calgary70,Wichita State84,"Exhibition: NCAA Division I @ Athens, GRE",Final#,
UC Santa Barbara80,UBC60,"@ Langley, BC",Final#,
Tue. 8,,,,
Away,Home,Notes,Status,Links
Victoria68,Xavier80,Exhibition: NCAA Division I (Foreign Tour) @ Y,Final#,
UC Santa Barbara90,Trinity Western84,Exhibition: NCAA Division I,Final#,
Wed. 9,,,,
Away,Home,Notes,Status,Links
Calgary73,Wichita State84,"Exhibition: NCAA Division I @ Athens, GRE",Final#,
Assumption75,Concordia86,Exhibition: NCAA Division I,Final#,Box Score
Thu. 10,,,,
Away,Home,Notes,Status,Links
Penn State103,Victoria77,"Exhibition: NCAA Division I (Foreign Tour) @ Nassau, Bahamas (Baha Mar Convention Center)",Final#,
Towson90,Toronto58,Exhibition (NCAA Division I),Final#,Box Score
Assumption99,UQAM79,Exhibition NCAA Division II,Final#,Box Score
Fri. 11,,,,
Away,Home,Notes,Status,Links
Towson80,Toronto Metropolitan67,Exhibition: NCAA Division I,Final#,Box Score
Sat. 12,,,,
Away,Home,Notes,Status,Links
Fairfield90,UBC69,"@ San Jose, Costa Rica",Final#,
Calgary79,Yale89,"Exhibition: NCAA Division I @ Athens, GRE",Final#,
Assumption90,Laval75,Exhibition - NCAA Division II,Final#,Box Score
Sun. 13,,,,
Away,Home,Notes,Status,Links
Fairfield88,UBC64,"@ San Jose, Costa Rica",Final#,
Towson69,UQAM57,,Final#,Box Score
Mon. 14,,,,
Away,Home,Notes,Status,Links
Fairfield73,UBC67,"@ San Jose, Costa Rica",Final#,
Calgary94,Yale100,"Exhibition: NCAA Division I @ Athens, GRE",Final#,
Indianapolis118,Dalhousie104,Exhibition: NCAA Division II,Final - 2OT#,Box ScoreRecap
Towson69,Laval45,non conference NCAA D1 @ centre sportif brebeuf,Final#,Box Score
Tue. 15,,,,
Away,Home,Notes,Status,Links
Towson69,Concordia39,Exhibition: NCAA Division I,Final#,Box Score
Indianapolis78,Acadia89,Exhibition: NCAA Division II,Final - 2OT#,Box Score
Mon. 21,,,,
Away,Home,Notes,Status,Links
Harvard75,McGill47,"Exhibition (NCAA, Division 1)",Final#,Box Score
Tue. 22,,,,
Away,Home,Notes,Status,Links
Harvard52,Ottawa65,Exhibition - NCAA Division I,Final#,Box Score
Wed. 23,,,,
Away,Home,Notes,Status,Links
Harvard75,Carleton72,Exhibition - NCAA Division I,Final#,Box Score
Thu. 24,,,,
Away,Home,Notes,Status,Links
Farmingdale State99,Laval90,Exhibition (NCAA Division III),Final#,Box Score
Fri. 25,,,,
Away,Home,Notes,Status,Links
Harvard65,Toronto68,Exhibition (NCAA Division I),Final#,Box Score
Farmingdale63,Concordia88,Exhibition: NCAA Division III,Final#,Box Score
September,,,,
Sat. 16,,,,
Away,Home,Notes,Status,Links
Algoma57,Nipissing75,"@ Timmins, ON",Final#,
Wed. 20,,,,
Away,Home,Notes,Status,Links
Dalhousie111,University of Kings College75,,Final#,
Thu. 21,,,,
Away,Home,Notes,Status,Links
Humber66,Laurier73,Exhibition (CCAA),Final#,Box Score
Fri. 22,,,,
Away,Home,Notes,Status,Links
Dalhousie97,Mount Saint Vincent64,,Final#,
Sat. 23,,,,
Away,Home,Notes,Status,Links
Mohawk74,McMaster64,Exhibition (CCAA),Final#,
Mount Saint Vincent62,StFX77,Exhibition (CCAA),Final#,Box ScoreRecap
Guelph83,Bishop's89,"Non-conference @ Brockville, Ont.",Final#,
Sun. 24,,,,
Away,Home,Notes,Status,Links
UPEI55,UNB70,Non-conference,Final#,Box ScoreRecap
King's College47,StFX104,Exhibition (CCAA),Final#,Box ScoreRecap
Tue. 26,,,,
Away,Home,Notes,Status,Links
Guelph83,Humber College84,,Final#,
Wed. 27,,,,
Away,Home,Notes,Status,Links
Lambton College55,Western111,,Final#,
Centennial,York,Exhibition (CCAA),7:00 PM EDT#,Live stats
Thu. 28,,,,
Away,Home,Notes,Status,Links
Waterloo64,Saskatchewan60,Ron & Jane Graham Shootout,Final#,
Cape Breton110,St. Thomas97,(Pre-Season) @ Milner Tournament,Final#,
Acadia88,UNB79,"Milner Invitational - Exhibition @ Rothesay, NB",Final#,
Memorial47,McMaster60,Non-Conference,Final#,Box Score
Lethbridge86,Brandon76,Non-conference,Final#,Box Score
Ontario Tech72,Toronto79,@ Toronto Pan Am Centre,Final#,Box Score
George Brown75,Toronto Metropolitan124,Exhibition,Final#,Box Score
Laurentian61,UFV90,"@ Saskatoon, SK",Final#,
Winnipeg89,Regina69,,Final#,Box Score
Fri. 29,,,,
Away,Home,Notes,Status,Links
UFV67,Saskatchewan59,,Final#,
Nipissing62,Western109,,Final#,
Mount Royal87,UNBC84,,Final#,
Algoma58,Lakehead93,Non-conference,Final#,Box Score
Cape Breton87,UNB91,Milner Invitational - Non-Conference @ CBU,Final#,Box Score
Windsor83,Dalhousie104,(Non-Conference) Mickey Place Tourn. @ UPEI,Final#,Box Score
St. Thomas89,Acadia98,"Milner Invitational - Exhibition @ Rothesay, NB",Final#,
Memorial74,Laurier68,(Pre-season),Final#,Box Score
Winnipeg82,Lethbridge57,,Final#,Box Score
York79,UPEI78,Mickey Place Tournament,Final#,Box Score
Humber63,Toronto Metropolitan97,Exhibition,Final#,Box Score
Concordia75,Guelph86,,Final#,Box Score
Brandon79,Regina97,,Final#,Box Score
Waterloo67,Laurentian78,Ron and Jane Graham Shootout @ University of Saskatchewan,Final#,
Alberta67,Carleton70,Non-conference @ CARSA Performance Gym,Final#,Box Score
Bishop's73,Victoria96,,Final#,Box Score
Sat. 30,,,,
Away,Home,Notes,Status,Links
Mount Royal93,UNBC99,,Final#,
