Season,Date,Location,Team,Opponent,Jersey,PlayerName,StarterFlag,Mins,3PT_Pct,FG_Pct,FT_Pct,Reb_O,Reb_D,Reb_T,PF,AST,TO,BLK,STL,Pts,3PTM,3PTA,FGM,FGA,FTM,FTA,TS_Pct,eFG_Pct,HomeAway
2024-25,2024-09-20,"Sackville, NB",Acadia Axemen,Mount Allison,1.0,Gabe Davignon,True,25,28.6,41.7,100.0,1,4,5,0,3,1,0,3,20,2,7,5,12,8,8,64.43,50.0,
2024-25,2024-09-20,"Sackville, NB",Acadia Axemen,Mount Allison,10.0,Briawne Wilson,False,21,100.0,63.6,75.0,1,0,1,2,1,2,0,2,18,1,1,7,11,3,4,70.53,68.18,
2024-25,2024-09-20,"Sackville, NB",Acadia Axemen,Mount Allison,5.0,Glen Cox,True,18,0.0,50.0,71.4,1,3,4,0,0,0,0,0,15,0,1,5,10,5,7,57.34,50.0,
2024-25,2024-09-20,"Sackville, NB",Acadia Axemen,Mount Allison,2.0,Erik Hayden,True,18,100.0,62.5,0.0,4,1,5,1,2,3,0,2,11,1,1,5,8,0,0,68.75,68.75,
2024-25,2024-09-20,"Sackville, NB",Acadia Axemen,Mount Allison,4.0,Kyle Munro,True,24,33.3,40.0,100.0,1,1,2,0,5,0,1,3,11,1,3,4,10,2,2,50.55,45.0,
2024-25,2024-09-20,"Sackville, NB",Acadia Axemen,Mount Allison,8.0,David Chijioke,False,15,50.0,60.0,0.0,0,1,1,3,0,0,0,2,8,2,4,3,5,0,0,80.0,80.0,
2024-25,2024-09-20,"Sackville, NB",Acadia Axemen,Mount Allison,9.0,Donovan Reid,False,12,0.0,60.0,0.0,4,2,6,1,1,0,0,2,6,0,0,3,5,0,0,60.0,60.0,
2024-25,2024-09-20,"Sackville, NB",Acadia Axemen,Mount Allison,13.0,Ryan Regault,False,21,25.0,16.7,33.3,0,2,2,0,4,1,0,1,4,1,4,1,6,1,3,27.32,25.0,
2024-25,2024-09-20,"Sackville, NB",Acadia Axemen,Mount Allison,21.0,Marc Sidoine Nkwitche,True,14,0.0,50.0,0.0,1,0,1,3,0,2,0,0,4,0,0,2,4,0,1,45.05,50.0,
2024-25,2024-09-20,"Sackville, NB",Acadia Axemen,Mount Allison,11.0,Alain Mapendo,False,7,0.0,25.0,0.0,0,0,0,2,2,0,0,1,2,0,3,1,4,0,0,25.0,25.0,
2024-25,2024-09-20,"Sackville, NB",Acadia Axemen,Mount Allison,22.0,Adam Rosenberger,False,6,0.0,100.0,0.0,0,4,4,2,0,0,0,0,2,0,0,1,1,0,0,100.0,100.0,
2024-25,2024-09-20,"Sackville, NB",Acadia Axemen,Mount Allison,7.0,Markus Hayden,False,5,0.0,0.0,50.0,1,0,1,0,0,0,0,1,1,0,0,0,2,1,2,17.36,0.0,
2024-25,2024-09-20,"Sackville, NB",Acadia Axemen,Mount Allison,12.0,Joseph Dongelmans,False,5,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,
2024-25,2024-09-20,"Sackville, NB",Acadia Axemen,Mount Allison,3.0,Robbie Grant,False,10,0.0,0.0,0.0,1,3,4,0,1,2,0,0,0,0,2,0,2,0,0,0.0,0.0,
2024-25,2024-09-21,"Antigonish, NS",St. Francis Xavier X-Men,Mount Saint Vincent,3.0,Matt Pennell,False,23,85.7,60.0,100.0,0,4,4,0,2,1,1,0,20,6,7,6,10,2,2,91.91,90.0,
2024-25,2024-09-21,"Antigonish, NS",St. Francis Xavier X-Men,Mount Saint Vincent,1.0,D.J. Jackson,True,27,50.0,50.0,66.7,0,1,1,2,6,0,0,0,14,2,4,4,8,4,6,65.79,62.5,
2024-25,2024-09-21,"Antigonish, NS",St. Francis Xavier X-Men,Mount Saint Vincent,2.0,Keyonte Beals,False,21,33.3,55.6,0.0,1,3,4,1,2,2,0,1,12,2,6,5,9,0,0,66.67,66.67,
2024-25,2024-09-21,"Antigonish, NS",St. Francis Xavier X-Men,Mount Saint Vincent,0.0,Gatluak James,True,26,0.0,33.3,66.7,1,7,8,2,2,0,0,1,10,0,3,3,9,4,6,42.96,33.33,
2024-25,2024-09-21,"Antigonish, NS",St. Francis Xavier X-Men,Mount Saint Vincent,7.0,Gloire Koua,False,17,0.0,75.0,60.0,2,4,6,3,1,3,2,1,9,0,1,3,4,3,5,72.58,75.0,
2024-25,2024-09-21,"Antigonish, NS",St. Francis Xavier X-Men,Mount Saint Vincent,23.0,Koat Thomas,True,19,50.0,50.0,0.0,3,2,5,1,1,1,0,0,9,1,2,4,8,0,1,53.32,56.25,
2024-25,2024-09-21,"Antigonish, NS",St. Francis Xavier X-Men,Mount Saint Vincent,15.0,Bennett Grumbach,True,24,12.5,14.3,50.0,2,3,5,3,5,1,3,2,6,1,8,2,14,1,2,20.16,17.86,
2024-25,2024-09-21,"Antigonish, NS",St. Francis Xavier X-Men,Mount Saint Vincent,5.0,Tariq Armstrong,False,23,0.0,33.3,0.0,0,2,2,1,5,2,0,1,4,0,1,2,6,0,0,33.33,33.33,
2024-25,2024-09-21,"Antigonish, NS",St. Francis Xavier X-Men,Mount Saint Vincent,32.0,Jeff Ngandu,True,7,0.0,50.0,0.0,4,4,8,1,0,2,1,0,2,0,0,1,2,0,1,40.98,50.0,
2024-25,2024-09-21,"Antigonish, NS",St. Francis Xavier X-Men,Mount Saint Vincent,9.0,Joel Ongagna,False,8,0.0,25.0,0.0,2,0,2,0,0,0,0,2,2,0,0,1,4,0,0,25.0,25.0,
2024-25,2024-09-21,"Antigonish, NS",St. Francis Xavier X-Men,Mount Saint Vincent,11.0,Rogan Betts,False,2,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,
2024-25,2024-09-21,"Antigonish, NS",St. Francis Xavier X-Men,Mount Saint Vincent,14.0,Tim Bilek,False,2,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,
2024-25,2024-09-21,"Antigonish, NS",St. Francis Xavier X-Men,Mount Saint Vincent,12.0,Dakoda Lewis,False,2,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,
2024-25,2024-09-24,"Guelph, ON",Guelph Gryphons,Humber College,12.0,Isaiah Odle-Clarke,False,22,0.0,66.7,50.0,3,4,7,0,1,2,0,1,23,0,2,10,15,3,6,65.19,66.67,
2024-25,2024-09-24,"Guelph, ON",Guelph Gryphons,Humber College,31.0,Emmanuel Black,False,19,100.0,62.5,50.0,2,2,4,1,3,3,0,1,13,1,1,5,8,2,4,66.6,68.75,
2024-25,2024-09-24,"Guelph, ON",Guelph Gryphons,Humber College,21.0,Raef Wykes,False,18,75.0,66.7,0.0,0,3,3,1,3,1,0,4,11,3,4,4,6,0,0,91.67,91.67,
2024-25,2024-09-24,"Guelph, ON",Guelph Gryphons,Humber College,44.0,Jack Gallaway,False,18,0.0,75.0,50.0,1,0,1,5,1,1,1,1,7,0,0,3,4,1,2,71.72,75.0,
2024-25,2024-09-24,"Guelph, ON",Guelph Gryphons,Humber College,11.0,Jack Tunstill,True,18,0.0,75.0,25.0,1,4,5,0,2,1,2,1,7,0,0,3,4,1,4,60.76,75.0,
2024-25,2024-09-24,"Guelph, ON",Guelph Gryphons,Humber College,42.0,Eric Armstrong,True,20,0.0,25.0,100.0,1,1,2,1,1,2,0,0,6,0,2,1,4,4,4,52.08,25.0,
2024-25,2024-09-24,"Guelph, ON",Guelph Gryphons,Humber College,22.0,Adrian Morra,False,13,0.0,66.7,100.0,0,0,0,0,1,2,0,0,6,0,0,2,3,2,2,77.32,66.67,
2024-25,2024-09-24,"Guelph, ON",Guelph Gryphons,Humber College,4.0,Bennett Cotton,True,7,50.0,25.0,100.0,0,0,0,1,1,1,1,0,5,1,2,1,4,2,2,51.23,37.5,
2024-25,2024-09-24,"Guelph, ON",Guelph Gryphons,Humber College,5.0,Shaathon Walker,True,21,0.0,40.0,0.0,0,4,4,0,1,0,0,2,4,0,0,2,5,0,2,34.01,40.0,
2024-25,2024-09-24,"Guelph, ON",Guelph Gryphons,Humber College,6.0,Amare Hamilton,True,17,33.3,33.3,0.0,0,0,0,0,1,1,0,0,3,1,3,1,3,0,0,50.0,50.0,
2024-25,2024-09-24,"Guelph, ON",Guelph Gryphons,Humber College,13.0,Dylan Koffi,False,12,0.0,50.0,0.0,1,1,2,2,1,1,0,1,2,0,0,1,2,0,1,40.98,50.0,
2024-25,2024-09-24,"Guelph, ON",Guelph Gryphons,Humber College,40.0,Presley Osagie,False,7,0.0,0.0,50.0,0,2,2,1,0,0,1,0,1,0,0,0,0,1,2,56.82,0.0,
2024-25,2024-09-24,"Guelph, ON",Guelph Gryphons,Humber College,32.0,Shomari Hill,False,8,0.0,0.0,0.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,
2024-25,2024-09-24,"Guelph, ON",Guelph Gryphons,Humber College,33.0,Vytas Nausedas,False,0,0.0,0.0,0.0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,
2024-25,2024-09-26,"Saskatoon, SK",Carleton Ravens,Saskatchewan Huskies,13.0,Augustas Brazdeikis,True,29,40.0,41.7,100.0,2,5,7,4,2,3,1,2,16,2,5,5,12,4,4,58.14,50.0,
2024-25,2024-09-26,"Saskatoon, SK",Carleton Ravens,Saskatchewan Huskies,15.0,Emanuel Milon,True,25,0.0,66.7,100.0,2,2,4,2,0,1,1,1,13,0,1,6,9,1,1,68.86,66.67,
2024-25,2024-09-26,"Saskatoon, SK",Carleton Ravens,Saskatchewan Huskies,10.0,Daniel Smith,False,19,60.0,50.0,0.0,1,3,4,2,0,4,0,0,11,3,5,4,8,0,0,68.75,68.75,
2024-25,2024-09-26,"Saskatoon, SK",Carleton Ravens,Saskatchewan Huskies,23.0,Nelson Cilien,True,21,0.0,83.3,0.0,7,3,10,3,0,2,0,1,10,0,0,5,6,0,0,83.33,83.33,
2024-25,2024-09-26,"Saskatoon, SK",Carleton Ravens,Saskatchewan Huskies,6.0,Aubrey Dorey-Havens,True,24,0.0,0.0,87.5,0,3,3,1,4,1,0,1,7,0,6,0,7,7,8,33.27,0.0,
2024-25,2024-09-26,"Saskatoon, SK",Carleton Ravens,Saskatchewan Huskies,22.0,Jordan Horobetz-Simpson,False,9,0.0,100.0,100.0,1,4,5,1,0,0,0,0,4,0,0,1,1,2,2,106.38,100.0,
2024-25,2024-09-26,"Saskatoon, SK",Carleton Ravens,Saskatchewan Huskies,3.0,Marjok Okado,False,19,0.0,25.0,100.0,0,1,1,0,1,1,0,0,4,0,3,1,4,2,2,40.98,25.0,
2024-25,2024-09-26,"Saskatoon, SK",Carleton Ravens,Saskatchewan Huskies,12.0,To Randriasalama,False,10,33.3,25.0,0.0,0,2,2,2,0,1,0,0,3,1,3,1,4,0,0,37.5,37.5,
2024-25,2024-09-26,"Saskatoon, SK",Carleton Ravens,Saskatchewan Huskies,21.0,Noah Horobetz-Simpson,False,7,0.0,33.3,0.0,1,1,2,2,0,0,0,0,2,0,0,1,3,0,4,21.01,33.33,
2024-25,2024-09-26,"Saskatoon, SK",Carleton Ravens,Saskatchewan Huskies,11.0,Xavier Spencer,True,27,0.0,10.0,0.0,2,2,4,2,5,2,0,1,2,0,5,1,10,0,0,10.0,10.0,
2024-25,2024-09-26,"Saskatoon, SK",Carleton Ravens,Saskatchewan Huskies,7.0,A.J. Osman,False,9,0.0,0.0,50.0,0,1,1,2,3,0,0,0,1,0,0,0,1,1,2,26.6,0.0,
2024-25,2024-09-26,"Saskatoon, SK",Saskatchewan Huskies,Carleton Ravens,10.0,Owen Murphy Wiebe,False,18,60.0,71.4,100.0,0,2,2,0,2,2,0,2,17,3,5,5,7,4,4,97.03,92.86,
2024-25,2024-09-26,"Saskatoon, SK",Saskatchewan Huskies,Carleton Ravens,1.0,Emmanuel Bonsu,True,33,33.3,40.0,100.0,2,7,9,0,1,4,0,0,16,2,6,6,15,2,2,50.38,46.67,
2024-25,2024-09-26,"Saskatoon, SK",Saskatchewan Huskies,Carleton Ravens,13.0,Dillyn Morin,False,17,25.0,40.0,0.0,0,0,0,1,1,2,0,0,9,1,4,4,10,0,2,41.36,45.0,
2024-25,2024-09-26,"Saskatoon, SK",Saskatchewan Huskies,Carleton Ravens,2.0,Easton Thimm,True,29,0.0,40.0,50.0,4,2,6,3,2,2,1,0,8,0,0,2,5,4,8,46.95,40.0,
2024-25,2024-09-26,"Saskatoon, SK",Saskatchewan Huskies,Carleton Ravens,0.0,Freddy Kapinga,False,15,0.0,20.0,100.0,2,1,3,4,0,2,0,1,6,0,0,1,5,4,4,44.38,20.0,
2024-25,2024-09-26,"Saskatoon, SK",Saskatchewan Huskies,Carleton Ravens,8.0,Dylan Miller,True,18,25.0,40.0,0.0,0,0,0,3,2,0,0,0,5,1,4,2,5,0,0,50.0,50.0,
2024-25,2024-09-26,"Saskatoon, SK",Saskatchewan Huskies,Carleton Ravens,12.0,Griffin Sharkey,True,18,20.0,16.7,0.0,0,3,3,3,0,0,0,0,3,1,5,1,6,0,0,25.0,25.0,
2024-25,2024-09-26,"Saskatoon, SK",Saskatchewan Huskies,Carleton Ravens,11.0,Ryker Wuttke,False,22,0.0,50.0,25.0,1,4,5,2,1,0,0,4,3,0,0,1,2,1,4,39.89,50.0,
2024-25,2024-09-26,"Saskatoon, SK",Saskatchewan Huskies,Carleton Ravens,3.0,Dylan Boughen,False,12,0.0,0.0,0.0,0,1,1,4,2,1,0,0,0,0,0,0,0,0,0,0.0,0.0,
2024-25,2024-09-26,"Saskatoon, SK",Saskatchewan Huskies,Carleton Ravens,14.0,Seth Jones,False,3,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,
2024-25,2024-09-26,"Saskatoon, SK",Saskatchewan Huskies,Carleton Ravens,5.0,Benjamin Rose,True,14,0.0,0.0,0.0,1,0,1,1,0,2,0,0,0,0,0,0,2,0,0,0.0,0.0,
2024-25,2024-09-26,"Saskatoon, SK",UBC Thunderbirds,MacEwan Griffins,6.0,Nikola Guzina,True,21,0.0,53.3,50.0,2,8,10,1,1,2,0,1,18,0,0,8,15,2,4,53.7,53.33,
2024-25,2024-09-26,"Saskatoon, SK",UBC Thunderbirds,MacEwan Griffins,22.0,Micah Jessie,False,22,50.0,54.5,66.7,0,4,4,2,1,1,0,0,17,3,6,6,11,2,3,68.99,68.18,
2024-25,2024-09-26,"Saskatoon, SK",UBC Thunderbirds,MacEwan Griffins,3.0,Adam Olsen,False,26,14.3,27.3,66.7,2,4,6,3,4,3,0,0,13,1,7,3,11,6,9,43.45,31.82,
2024-25,2024-09-26,"Saskatoon, SK",UBC Thunderbirds,MacEwan Griffins,4.0,Arnaud Konan,True,24,0.0,66.7,50.0,0,0,0,1,3,2,0,3,9,0,0,4,6,1,2,65.41,66.67,
2024-25,2024-09-26,"Saskatoon, SK",UBC Thunderbirds,MacEwan Griffins,8.0,Brendan Sullivan,False,18,100.0,80.0,0.0,0,1,1,2,3,2,0,1,9,1,1,4,5,0,0,90.0,90.0,
2024-25,2024-09-26,"Saskatoon, SK",UBC Thunderbirds,MacEwan Griffins,35.0,Victor Radocaj,False,14,0.0,60.0,0.0,0,2,2,1,0,0,0,1,6,0,1,3,5,0,0,60.0,60.0,
2024-25,2024-09-26,"Saskatoon, SK",UBC Thunderbirds,MacEwan Griffins,13.0,Tobi Akinkunmi,True,14,0.0,40.0,0.0,1,4,5,4,0,1,0,0,4,0,3,2,5,0,0,40.0,40.0,
2024-25,2024-09-26,"Saskatoon, SK",UBC Thunderbirds,MacEwan Griffins,5.0,Nylan Roberts,False,13,0.0,50.0,0.0,2,0,2,3,0,1,1,1,4,0,0,2,4,0,0,50.0,50.0,
2024-25,2024-09-26,"Saskatoon, SK",UBC Thunderbirds,MacEwan Griffins,0.0,Fareed Shittu,True,23,0.0,20.0,0.0,0,0,0,1,4,1,0,0,2,0,3,1,5,0,0,20.0,20.0,
2024-25,2024-09-26,"Saskatoon, SK",UBC Thunderbirds,MacEwan Griffins,11.0,Jerry Hayes,False,9,0.0,0.0,50.0,1,1,2,1,1,1,0,0,1,0,0,0,1,1,2,26.6,0.0,
2024-25,2024-09-26,"Saskatoon, SK",UBC Thunderbirds,MacEwan Griffins,9.0,Toni Maric,False,7,0.0,0.0,50.0,1,1,2,1,0,1,0,0,1,0,0,0,2,1,2,17.36,0.0,
2024-25,2024-09-26,"Saskatoon, SK",UBC Thunderbirds,MacEwan Griffins,10.0,Gus Goerzen,True,9,0.0,0.0,0.0,0,1,1,0,0,2,0,1,0,0,1,0,5,0,0,0.0,0.0,
2024-25,2024-09-26,"Saskatoon, SK",MacEwan Griffins,UBC Thunderbirds,12.0,Job Janda,True,32,0.0,57.1,71.4,5,3,8,3,0,2,0,2,21,0,0,8,14,5,7,61.48,57.14,
2024-25,2024-09-26,"Saskatoon, SK",MacEwan Griffins,UBC Thunderbirds,13.0,Milan Jaksic,True,29,50.0,50.0,0.0,0,9,9,3,0,4,0,1,18,2,4,8,16,0,0,56.25,56.25,
2024-25,2024-09-26,"Saskatoon, SK",MacEwan Griffins,UBC Thunderbirds,10.0,Hugo Alonso,True,26,0.0,30.8,0.0,0,2,2,2,1,1,0,1,8,0,3,4,13,0,0,30.77,30.77,
2024-25,2024-09-26,"Saskatoon, SK",MacEwan Griffins,UBC Thunderbirds,5.0,Diego Presingular,False,16,66.7,66.7,0.0,3,2,5,2,2,2,0,0,6,2,3,2,3,0,1,87.21,100.0,
2024-25,2024-09-26,"Saskatoon, SK",MacEwan Griffins,UBC Thunderbirds,6.0,Thai Haak,False,14,0.0,33.3,0.0,1,1,2,1,0,3,0,1,4,0,1,2,6,0,0,33.33,33.33,
2024-25,2024-09-26,"Saskatoon, SK",MacEwan Griffins,UBC Thunderbirds,4.0,Filip Karanovic,True,24,0.0,33.3,0.0,1,4,5,3,2,3,0,2,4,0,2,2,6,0,0,33.33,33.33,
2024-25,2024-09-26,"Saskatoon, SK",MacEwan Griffins,UBC Thunderbirds,7.0,Judson Weir,False,14,0.0,50.0,50.0,0,3,3,1,1,2,0,0,3,0,1,1,2,1,2,52.08,50.0,
2024-25,2024-09-26,"Saskatoon, SK",MacEwan Griffins,UBC Thunderbirds,14.0,Joesef Gopie,False,7,0.0,100.0,0.0,0,1,1,2,0,0,0,0,2,0,0,1,1,0,0,100.0,100.0,
2024-25,2024-09-26,"Saskatoon, SK",MacEwan Griffins,UBC Thunderbirds,3.0,Joel Seke,True,17,0.0,14.3,0.0,0,0,0,1,2,0,0,3,2,0,3,1,7,0,0,14.29,14.29,
2024-25,2024-09-26,"Saskatoon, SK",MacEwan Griffins,UBC Thunderbirds,0.0,Dele Osuma,False,9,0.0,0.0,50.0,0,0,0,1,1,1,0,0,1,0,2,0,2,1,2,17.36,0.0,
2024-25,2024-09-26,"Saskatoon, SK",MacEwan Griffins,UBC Thunderbirds,15.0,Damilola Osuma,False,12,0.0,0.0,0.0,0,1,1,3,0,1,0,0,0,0,0,0,1,0,0,0.0,0.0,
2024-25,2024-09-26,"Regina, SK",Regina Cougars,Brandon Bobcats,10.0,Kaz Dornstauder,False,15,0.0,87.5,66.7,1,3,4,1,0,0,0,1,16,0,0,7,8,2,3,85.84,87.5,
2024-25,2024-09-26,"Regina, SK",Regina Cougars,Brandon Bobcats,3.0,Jordan Persad,False,19,50.0,55.6,0.0,0,1,1,1,2,1,0,0,13,3,6,5,9,0,0,72.22,72.22,
2024-25,2024-09-26,"Regina, SK",Regina Cougars,Brandon Bobcats,5.0,Samuel Nkassa,False,17,0.0,50.0,75.0,0,1,1,2,2,1,0,0,12,0,0,3,6,6,8,63.03,50.0,
2024-25,2024-09-26,"Regina, SK",Regina Cougars,Brandon Bobcats,14.0,Christian Tabiri,True,16,100.0,55.6,100.0,2,7,9,2,0,2,0,1,12,1,1,5,9,1,1,63.56,61.11,
2024-25,2024-09-26,"Regina, SK",Regina Cougars,Brandon Bobcats,9.0,Luke Huddlestone,False,10,50.0,20.0,70.0,1,2,3,1,0,0,0,0,10,1,2,1,5,7,10,53.19,30.0,
2024-25,2024-09-26,"Regina, SK",Regina Cougars,Brandon Bobcats,4.0,Benjamin Kamba,True,15,0.0,50.0,33.3,0,0,0,0,1,1,0,2,10,0,1,4,8,2,6,46.99,50.0,
2024-25,2024-09-26,"Regina, SK",Regina Cougars,Brandon Bobcats,2.0,Lodie Kenyi,True,19,50.0,50.0,0.0,2,5,7,2,1,2,0,0,7,1,2,3,6,0,0,58.33,58.33,
2024-25,2024-09-26,"Regina, SK",Regina Cougars,Brandon Bobcats,0.0,Isaac Kiona,False,11,33.3,25.0,66.7,0,3,3,1,0,1,0,0,7,1,3,1,4,4,6,52.71,37.5,
2024-25,2024-09-26,"Regina, SK",Regina Cougars,Brandon Bobcats,12.0,Arinze Emeka-Anyakwo,True,20,0.0,40.0,100.0,1,4,5,0,1,0,0,0,6,0,1,2,5,2,2,51.02,40.0,
2024-25,2024-09-26,"Regina, SK",Regina Cougars,Brandon Bobcats,11.0,Jamie White,True,15,50.0,50.0,0.0,2,2,4,2,0,1,0,1,3,1,2,1,2,0,0,75.0,75.0,
2024-25,2024-09-26,"Regina, SK",Regina Cougars,Brandon Bobcats,7.0,Zachary Hillis,False,14,0.0,0.0,100.0,1,5,6,1,1,3,0,1,2,0,1,0,1,2,2,53.19,0.0,
2024-25,2024-09-26,"Regina, SK",Regina Cougars,Brandon Bobcats,6.0,Dakota McBride-Marean,False,14,0.0,0.0,50.0,0,3,3,2,0,2,0,0,1,0,0,0,0,1,2,56.82,0.0,
2024-25,2024-09-26,"Regina, SK",Regina Cougars,Brandon Bobcats,13.0,Andrew Ackerman,False,10,0.0,0.0,0.0,3,2,5,0,0,1,0,0,0,0,0,0,1,0,0,0.0,0.0,
2024-25,2024-09-26,"Regina, SK",Regina Cougars,Brandon Bobcats,0.0,Jack Dolan,False,4,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,
2024-25,2024-09-26,"Regina, SK",Brandon Bobcats,Regina Cougars,9.0,Sultan Haider Bhatti,True,21,57.1,53.3,75.0,0,4,4,1,1,2,0,2,23,4,7,8,15,3,4,68.62,66.67,
2024-25,2024-09-26,"Regina, SK",Brandon Bobcats,Regina Cougars,8.0,Darko Karac,False,20,0.0,50.0,100.0,1,1,2,5,1,1,0,1,15,0,3,4,8,7,7,67.69,50.0,
2024-25,2024-09-26,"Regina, SK",Brandon Bobcats,Regina Cougars,2.0,Youri Cange,True,25,50.0,57.1,0.0,1,4,5,5,1,2,0,3,9,1,2,4,7,0,0,64.29,64.29,
2024-25,2024-09-26,"Regina, SK",Brandon Bobcats,Regina Cougars,3.0,Nathan Saldo,False,21,25.0,22.2,50.0,0,1,1,4,0,2,0,0,6,1,4,2,9,1,2,30.36,27.78,
2024-25,2024-09-26,"Regina, SK",Brandon Bobcats,Regina Cougars,0.0,Luke Moreau,False,11,25.0,20.0,100.0,0,0,0,2,0,1,0,0,5,1,4,1,5,2,2,42.52,30.0,
2024-25,2024-09-26,"Regina, SK",Brandon Bobcats,Regina Cougars,11.0,Tilkisew Gebeyehu,False,13,0.0,50.0,0.0,3,0,3,1,0,0,0,0,4,0,1,2,4,0,0,50.0,50.0,
2024-25,2024-09-26,"Regina, SK",Brandon Bobcats,Regina Cougars,1.0,Travis Hamberger,True,18,25.0,14.3,0.0,0,1,1,2,0,2,0,1,3,1,4,1,7,0,0,21.43,21.43,
2024-25,2024-09-26,"Regina, SK",Brandon Bobcats,Regina Cougars,5.0,Dewayne Thompson,True,23,0.0,11.1,50.0,0,4,4,1,1,1,0,0,3,0,4,1,9,1,2,15.18,11.11,
2024-25,2024-09-26,"Regina, SK",Brandon Bobcats,Regina Cougars,12.0,Jack McDonald,True,17,0.0,0.0,100.0,0,4,4,3,0,0,1,0,2,0,1,0,3,2,2,25.77,0.0,
2024-25,2024-09-26,"Regina, SK",Brandon Bobcats,Regina Cougars,7.0,Jakarri Lindsey,False,19,0.0,0.0,0.0,0,1,1,3,0,3,0,0,0,0,2,0,3,0,0,0.0,0.0,
2024-25,2024-09-26,"Regina, SK",Brandon Bobcats,Regina Cougars,4.0,Liam McArthur,False,3,0.0,0.0,0.0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0.0,0.0,
2024-25,2024-09-26,"Regina, SK",Brandon Bobcats,Regina Cougars,10.0,Max Winters,False,8,0.0,0.0,0.0,0,1,1,4,0,2,0,0,0,0,0,0,1,0,0,0.0,0.0,
2024-25,2024-09-26,"Regina, SK",Winnipeg Wesmen,Lethbridge Pronghorns,9.0,Alberto Gordo,True,32,0.0,42.9,83.3,1,2,3,0,2,3,0,2,17,0,4,6,14,5,6,51.08,42.86,
2024-25,2024-09-26,"Regina, SK",Winnipeg Wesmen,Lethbridge Pronghorns,0.0,Kato Jaro,True,26,16.7,33.3,100.0,1,3,4,2,3,0,0,2,13,1,6,3,9,6,6,55.84,38.89,
2024-25,2024-09-26,"Regina, SK",Winnipeg Wesmen,Lethbridge Pronghorns,12.0,Elijah Mensah,False,23,0.0,50.0,50.0,6,3,9,0,0,2,2,1,11,0,2,4,8,3,6,51.69,50.0,
2024-25,2024-09-26,"Regina, SK",Winnipeg Wesmen,Lethbridge Pronghorns,10.0,Ryan Luke,True,26,0.0,45.5,0.0,1,5,6,3,0,1,1,1,10,0,3,5,11,0,0,45.45,45.45,
2024-25,2024-09-26,"Regina, SK",Winnipeg Wesmen,Lethbridge Pronghorns,13.0,Donald Stewart,True,31,20.0,40.0,50.0,0,5,5,5,0,2,1,0,10,1,5,4,10,1,2,45.96,45.0,
2024-25,2024-09-26,"Regina, SK",Winnipeg Wesmen,Lethbridge Pronghorns,2.0,Emmanuel Thomas,True,20,66.7,50.0,0.0,2,3,5,0,0,0,0,1,8,2,3,3,6,0,0,66.67,66.67,
2024-25,2024-09-26,"Regina, SK",Winnipeg Wesmen,Lethbridge Pronghorns,7.0,Malachi Alexander,False,12,100.0,100.0,0.0,0,0,0,3,1,2,0,1,5,1,1,2,2,0,2,86.81,125.0,
2024-25,2024-09-26,"Regina, SK",Winnipeg Wesmen,Lethbridge Pronghorns,4.0,Lamar Everd,False,26,0.0,16.7,75.0,2,1,3,2,2,0,0,1,5,0,2,1,6,3,4,32.22,16.67,
2024-25,2024-09-26,"Regina, SK",Winnipeg Wesmen,Lethbridge Pronghorns,8.0,Ashton Uwamaliya,False,3,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,
2024-25,2024-09-26,"Regina, SK",Lethbridge Pronghorns,Winnipeg Wesmen,3.0,Kymani Pollard,True,25,33.3,50.0,100.0,3,0,3,4,2,4,0,1,18,1,3,6,12,5,5,63.38,54.17,
2024-25,2024-09-26,"Regina, SK",Lethbridge Pronghorns,Winnipeg Wesmen,0.0,Angelo Mbituyimana,True,25,0.0,33.3,25.0,1,7,8,3,1,1,0,0,10,0,3,4,12,2,8,32.22,33.33,
2024-25,2024-09-26,"Regina, SK",Lethbridge Pronghorns,Winnipeg Wesmen,8.0,Jack-Henry Fox-Grey,True,23,0.0,27.3,75.0,1,4,5,5,1,3,0,0,9,0,0,3,11,3,4,35.27,27.27,
2024-25,2024-09-26,"Regina, SK",Lethbridge Pronghorns,Winnipeg Wesmen,10.0,Shae Gibb,False,29,0.0,57.1,0.0,1,2,3,4,2,3,0,3,8,0,0,4,7,0,0,57.14,57.14,
2024-25,2024-09-26,"Regina, SK",Lethbridge Pronghorns,Winnipeg Wesmen,9.0,Bryce Solis,False,11,40.0,40.0,0.0,1,0,1,0,0,0,0,0,6,2,5,2,5,0,0,60.0,60.0,
