Season,Date,Location,Team,Opponent,Jersey,PlayerName,StarterFlag,Mins,ThreePt_Made_Att,ThreePtPct,FG_Made_Att,FGPct,FT_Made_Att,FTPct,Reb_Off,Reb_Def,Reb_Tot,PF,AST,TO,BLK,STL,Pts
2021-22,"Fri Oct 1, 2021","Fredericton, NB",UPEI Panthers,UNB Reds,6,Elton Muamba,0,21,1-3,33.3,3-5,60.0,1-1,100.0,2,0,2,3,1,2,0,2,8
2021-22,"Fri Oct 1, 2021","Fredericton, NB",UPEI Panthers,UNB Reds,2,Sam Chisholm,0,19,1-2,50.0,2-6,33.3,1-2,50.0,0,6,6,3,2,3,0,2,6
2021-22,"Fri Oct 1, 2021","Fredericton, NB",UPEI Panthers,UNB Reds,8,Latrelle Gonzales,0,3,0-0,0.0,0-0,0.0,0-0,0.0,0,1,1,0,0,0,0,0,0
2021-22,"Fri Oct 1, 2021","Fredericton, NB",UNB Reds,UPEI Panthers,15,Norm Burry,1,26,1-4,25.0,5-11,45.5,4-5,80.0,1,1,2,2,2,3,0,1,15
2021-22,"Fri Oct 1, 2021","Fredericton, NB",UNB Reds,UPEI Panthers,4,Rees Hasson,1,27,1-4,25.0,3-6,50.0,3-4,75.0,1,2,3,4,2,1,0,2,10
2021-22,"Fri Oct 1, 2021","Fredericton, NB",UNB Reds,UPEI Panthers,9,Benjamin Gilbert,1,28,2-4,50.0,3-5,60.0,1-2,50.0,2,3,5,2,1,3,0,0,9
2021-22,"Fri Oct 1, 2021","Fredericton, NB",UNB Reds,UPEI Panthers,8,Chris Spurrell,1,21,1-6,16.7,4-12,33.3,0-2,0.0,1,0,1,0,2,4,0,2,9
2021-22,"Fri Oct 1, 2021","Fredericton, NB",UNB Reds,UPEI Panthers,12,Greg Manuel,0,19,0-0,0.0,2-3,66.7,3-4,75.0,2,4,6,0,0,0,0,0,7
2021-22,"Fri Oct 1, 2021","Fredericton, NB",UNB Reds,UPEI Panthers,14,Ethan Drost,0,10,0-0,0.0,2-4,50.0,1-1,100.0,3,2,5,1,0,0,0,0,5
2021-22,"Fri Oct 1, 2021","Fredericton, NB",UNB Reds,UPEI Panthers,11,Sterling Simpson,0,19,1-5,20.0,2-8,25.0,0-0,0.0,3,3,6,2,2,0,0,1,5
2021-22,"Fri Oct 1, 2021","Fredericton, NB",UNB Reds,UPEI Panthers,1,Lucas Tompkins,0,13,1-3,33.3,2-4,50.0,0-0,0.0,1,0,1,0,1,1,0,0,5
2021-22,"Fri Oct 1, 2021","Fredericton, NB",UNB Reds,UPEI Panthers,3,Brandon Laryea,0,15,0-1,0.0,0-3,0.0,2-4,50.0,1,2,3,3,2,3,1,0,2
2021-22,"Fri Oct 1, 2021","Fredericton, NB",UNB Reds,UPEI Panthers,13,Corey Nzigamasabo,1,9,0-2,0.0,1-4,25.0,0-0,0.0,0,2,2,4,1,3,0,1,2
2021-22,"Fri Oct 1, 2021","Fredericton, NB",UNB Reds,UPEI Panthers,7,Solon Ellis,0,13,0-3,0.0,0-4,0.0,0-0,0.0,1,3,4,3,2,2,0,0,0
2021-22,"Fri Oct 1, 2021","Regina, SK",Mount Royal University Cougars,Brandon Bobcats,5,Nathan Petrone,1,36,3-9,33.3,8-18,44.4,4-4,100.0,0,4,4,2,2,1,0,2,23
2021-22,"Fri Oct 1, 2021","Regina, SK",Mount Royal University Cougars,Brandon Bobcats,9,Dylan Lutes,1,33,1-3,33.3,9-16,56.2,0-0,0.0,2,6,8,2,2,2,1,1,19
2021-22,"Fri Oct 1, 2021","Regina, SK",Mount Royal University Cougars,Brandon Bobcats,1,Holt Tomie,1,32,0-1,0.0,5-14,35.7,9-10,90.0,2,3,5,1,7,5,0,3,19
2021-22,"Fri Oct 1, 2021","Regina, SK",Mount Royal University Cougars,Brandon Bobcats,14,Patrick Vandervelden,0,16,0-0,0.0,4-7,57.1,2-4,50.0,3,4,7,3,0,3,1,0,10
2021-22,"Fri Oct 1, 2021","Regina, SK",Mount Royal University Cougars,Brandon Bobcats,10,Nicholas Tancon,1,25,0-1,0.0,3-7,42.9,2-4,50.0,2,4,6,5,4,3,1,1,8
2021-22,"Fri Oct 1, 2021","Regina, SK",Mount Royal University Cougars,Brandon Bobcats,7,Brock Dewsbery,1,22,0-1,0.0,1-3,33.3,5-6,83.3,0,2,2,2,2,2,0,3,7
2021-22,"Fri Oct 1, 2021","Regina, SK",Mount Royal University Cougars,Brandon Bobcats,24,Lincoln Anderson,0,12,0-1,0.0,3-5,60.0,0-0,0.0,0,3,3,3,1,1,1,3,6
2021-22,"Fri Oct 1, 2021","Regina, SK",Mount Royal University Cougars,Brandon Bobcats,11,Chase Bohne,0,13,0-4,0.0,1-6,16.7,0-0,0.0,0,2,2,0,1,1,0,1,2
2021-22,"Fri Oct 1, 2021","Regina, SK",Mount Royal University Cougars,Brandon Bobcats,2,Matt Fullerton,0,10,0-3,0.0,0-3,0.0,0-0,0.0,0,1,1,1,1,0,0,2,0
2021-22,"Fri Oct 1, 2021","Regina, SK",Brandon Bobcats,Mount Royal University Cougars,7,Anthony Tsegakele,1,36,0-0,0.0,8-15,53.3,9-16,56.2,6,10,16,3,4,5,1,0,25
2021-22,"Fri Oct 1, 2021","Regina, SK",Brandon Bobcats,Mount Royal University Cougars,2,Jahmaal Gardner,1,32,2-5,40.0,10-16,62.5,0-0,0.0,0,6,6,2,4,2,0,1,22
2021-22,"Fri Oct 1, 2021","Regina, SK",Brandon Bobcats,Mount Royal University Cougars,9,Sultan Haider Bhatti,1,34,4-9,44.4,6-15,40.0,2-3,66.7,1,7,8,2,2,7,1,4,18
2021-22,"Fri Oct 1, 2021","Regina, SK",Brandon Bobcats,Mount Royal University Cougars,6,Dominique Dennis,1,26,2-2,100.0,2-7,28.6,0-0,0.0,0,4,4,5,8,4,1,3,6
2021-22,"Fri Oct 1, 2021","Regina, SK",Brandon Bobcats,Mount Royal University Cougars,1,Travis Hamberger,0,6,2-2,100.0,2-3,66.7,0-0,0.0,0,0,0,1,0,0,0,1,6
2021-22,"Fri Oct 1, 2021","Regina, SK",Brandon Bobcats,Mount Royal University Cougars,4,Elisha Ampofo,0,17,1-4,25.0,1-4,25.0,2-2,100.0,0,4,4,2,0,1,0,1,5
2021-22,"Fri Oct 1, 2021","Regina, SK",Brandon Bobcats,Mount Royal University Cougars,14,Silas Owusu-Acheaw,0,8,0-0,0.0,1-3,33.3,0-0,0.0,1,1,2,1,0,1,0,0,2
2021-22,"Fri Oct 1, 2021","Regina, SK",Brandon Bobcats,Mount Royal University Cougars,10,Ian Simba Gasana,0,6,0-1,0.0,0-1,0.0,1-2,50.0,0,1,1,2,0,0,1,0,1
2021-22,"Fri Oct 1, 2021","Regina, SK",Brandon Bobcats,Mount Royal University Cougars,5,Hans Befus,0,9,0-1,0.0,0-1,0.0,0-0,0.0,0,1,1,0,0,2,0,0,0
2021-22,"Fri Oct 1, 2021","Regina, SK",Brandon Bobcats,Mount Royal University Cougars,3,Patrick Jonas,0,1,0-0,0.0,0-0,0.0,0-0,0.0,0,0,0,0,0,0,0,0,0
2021-22,"Fri Oct 1, 2021","Regina, SK",Brandon Bobcats,Mount Royal University Cougars,13,Malik Lewis,0,12,0-4,0.0,0-5,0.0,0-0,0.0,0,0,0,4,0,2,0,0,0
2021-22,"Fri Oct 1, 2021","Regina, SK",Brandon Bobcats,Mount Royal University Cougars,15,Blake Magnusson,1,12,0-2,0.0,0-2,0.0,0-0,0.0,0,1,1,3,0,0,0,0,0
2021-22,"Sat Oct 2, 2021","Fredericton, NB",UNB Reds,St. Thomas,4,Rees Hasson,1,35,5-10,50.0,8-18,44.4,0-0,0.0,0,0,0,2,3,2,0,3,21
2021-22,"Sat Oct 2, 2021","Fredericton, NB",UNB Reds,St. Thomas,8,Chris Spurrell,1,29,2-7,28.6,7-16,43.8,5-6,83.3,1,0,1,1,6,3,0,1,21
2021-22,"Sat Oct 2, 2021","Fredericton, NB",UNB Reds,St. Thomas,13,Corey Nzigamasabo,1,20,2-3,66.7,5-9,55.6,1-2,50.0,0,1,1,4,1,2,1,0,13
2021-22,"Sat Oct 2, 2021","Fredericton, NB",UNB Reds,St. Thomas,15,Norm Burry,1,26,2-6,33.3,3-8,37.5,2-2,100.0,1,2,3,0,4,2,0,0,10
